urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,warc_file_downloaded,remark
"edu,stanford,cs)/events/affiliates-events/stanford-data-science-initiative-fall-2017-retreat",20240614225732,https://www.cs.stanford.edu/events/affiliates-events/stanford-data-science-initiative-fall-2017-retreat,text/html,text/html,Completed,MYVPRCL2HIB4CKN3WOINIQENRCK5VNRZ,13683,662414622,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00517.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/events/affiliates-events/stanford-data-science-initiative-fall-2018-retreat",20240614231842,https://www.cs.stanford.edu/events/affiliates-events/stanford-data-science-initiative-fall-2018-retreat,text/html,text/html,Completed,BJFND6PZBLUSDG3DIJOVHLTEE45O3RYB,13434,628002390,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00702.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/events/affiliates-events/stanford-data-science-initiative-spring-2017-workshops",20240614210455,https://www.cs.stanford.edu/events/affiliates-events/stanford-data-science-initiative-spring-2017-workshops,text/html,text/html,Completed,G2KOWRWFULPQ7VRTN5DBYHZ5LA656QUP,12973,659606495,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00768.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/events/affiliates-events/stanford-data-science-initiative-spring-2018-workshop",20240614230729,https://www.cs.stanford.edu/events/affiliates-events/stanford-data-science-initiative-spring-2018-workshop,text/html,text/html,Completed,R7NRWI4JZBFDUD7SKKGXM6FLBEIOUDX4,14395,657057809,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00094.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/events/affiliates-events/stanford-graph-learning-workshop-2022",20240614220000,https://www.cs.stanford.edu/events/affiliates-events/stanford-graph-learning-workshop-2022,text/html,text/html,Completed,IGJI4JTT2N7IBEAG6QH72H25XFTDI5SR,13669,635304033,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00454.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/events/affiliates-events/workshop-data-science-biomedicine",20240614211939,https://www.cs.stanford.edu/events/affiliates-events/workshop-data-science-biomedicine,text/html,text/html,Completed,HZ5NPNNH5EDCLIFPB7W2MLPWRXBN4HRI,11728,648532220,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00666.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/events/calendar/day",20240623023258,https://cs.stanford.edu/events/calendar/day,text/html,text/html,Completed,IBEFD5XUZKO7BYHRKARBQQFH2XB32LWP,714,8149583,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00349.warc.gz,,,https://www.cs.stanford.edu/events/calendar/day,,False,
"edu,stanford,cs)/events/calendar/day",20240623023259,https://www.cs.stanford.edu/events/calendar/day,text/html,text/html,Completed,KV2LWW56XJAHCUZIAFFAGJVU2632NJ6K,10600,28876957,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00370.warc.gz,,,,,False,
"edu,stanford,cs)/events/calendar/week",20240623022708,https://cs.stanford.edu/events/calendar/week,text/html,text/html,Completed,JWZJEK2IZWTUDGW5SM2F5YSWCYMSMRGL,717,7530029,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00079.warc.gz,,,https://www.cs.stanford.edu/events/calendar/week,,False,
"edu,stanford,cs)/events/calendar/week",20240623022709,https://www.cs.stanford.edu/events/calendar/week,text/html,text/html,Completed,KV2LWW56XJAHCUZIAFFAGJVU2632NJ6K,10597,29960016,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00434.warc.gz,,,,,False,
"edu,stanford,cs)/events/nlp-seminar-victoria-lin",20240623170026,https://www.cs.stanford.edu/events/nlp-seminar-victoria-lin,text/html,application/xhtml+xml,Completed,RSIDLD4M6H6NQFVJPRLLJBTHO44M7VNY,908,28705633,crawl-data/CC-MAIN-2024-26/segments/1718198862488.55/crawldiagnostics/CC-MAIN-20240623162925-20240623192925-00221.warc.gz,,,,,False,
"edu,stanford,cs)/events/nvidia-gtc-2023-change-world-career-ai",20240623004755,https://cs.stanford.edu/events/nvidia-gtc-2023-change-world-career-ai,text/html,text/html,Completed,L6FJDTIUHAXZLK5DEBYEV5DNOPJ2SNWE,738,7850824,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00138.warc.gz,,,https://www.cs.stanford.edu/events/nvidia-gtc-2023-change-world-career-ai,,False,
"edu,stanford,cs)/events/nvidia-gtc-2023-change-world-career-ai",20240623004756,https://www.cs.stanford.edu/events/nvidia-gtc-2023-change-world-career-ai,text/html,application/xhtml+xml,Completed,RSIDLD4M6H6NQFVJPRLLJBTHO44M7VNY,912,27262666,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00059.warc.gz,,,,,False,
"edu,stanford,cs)/events/robotics-seminar-humanizing-robot-design-aaron-edsinger",20240618004122,https://cs.stanford.edu/events/robotics-seminar-humanizing-robot-design-aaron-edsinger,text/html,text/html,Completed,PYNMLOKGFWTJKBYWD23YDLJCEUPYKF2K,746,7549585,crawl-data/CC-MAIN-2024-26/segments/1718198861741.14/crawldiagnostics/CC-MAIN-20240617215859-20240618005859-00642.warc.gz,,,https://www.cs.stanford.edu/events/robotics-seminar-humanizing-robot-design-aaron-edsinger,,False,
"edu,stanford,cs)/events/robotics-seminar-humanizing-robot-design-aaron-edsinger",20240618004122,https://www.cs.stanford.edu/events/robotics-seminar-humanizing-robot-design-aaron-edsinger,text/html,text/html,Completed,SB5OZMQURZMX25YIW4PGVYNA2GSLYGKC,10659,27230773,crawl-data/CC-MAIN-2024-26/segments/1718198861741.14/crawldiagnostics/CC-MAIN-20240617215859-20240618005859-00381.warc.gz,,,,,False,
"edu,stanford,cs)/events/security-seminar-daniel-genkin",20240623171339,https://www.cs.stanford.edu/events/security-seminar-daniel-genkin,text/html,application/xhtml+xml,Completed,RSIDLD4M6H6NQFVJPRLLJBTHO44M7VNY,908,29640685,crawl-data/CC-MAIN-2024-26/segments/1718198862488.55/crawldiagnostics/CC-MAIN-20240623162925-20240623192925-00004.warc.gz,,,,,False,
"edu,stanford,cs)/events/symbolic-systems-forum-evan-wisner-davyn-sudirdjo",20240623010659,https://cs.stanford.edu/events/symbolic-systems-forum-evan-wisner-davyn-sudirdjo,text/html,text/html,Completed,H46FUAIYA6MZTRE32QRGNRZLP22WUP2N,742,8330121,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00743.warc.gz,,,https://www.cs.stanford.edu/events/symbolic-systems-forum-evan-wisner-davyn-sudirdjo,,False,
"edu,stanford,cs)/events/symbolic-systems-forum-evan-wisner-davyn-sudirdjo",20240623010700,https://www.cs.stanford.edu/events/symbolic-systems-forum-evan-wisner-davyn-sudirdjo,text/html,text/html,Completed,KV2LWW56XJAHCUZIAFFAGJVU2632NJ6K,10623,27324370,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00242.warc.gz,,,,,False,
"edu,stanford,cs)/events/vincent-ulitzsch-physical-side-channel-and-fault-injection-attacks-dilithium-small-bit",20240615081849,https://www.cs.stanford.edu/events/vincent-ulitzsch-physical-side-channel-and-fault-injection-attacks-dilithium-small-bit,text/html,text/html,Completed,ZUZFTJA7VOCZTTLDI7OCEAPYNYEJXZQY,10635,28663042,crawl-data/CC-MAIN-2024-26/segments/1718198861584.65/crawldiagnostics/CC-MAIN-20240615062230-20240615092230-00146.warc.gz,,,,,False,
"edu,stanford,cs)/faculty-opening",20240617143417,https://www.cs.stanford.edu/faculty-opening,text/html,text/html,Completed,SB5OZMQURZMX25YIW4PGVYNA2GSLYGKC,10630,28285889,crawl-data/CC-MAIN-2024-26/segments/1718198861719.30/crawldiagnostics/CC-MAIN-20240617122241-20240617152241-00208.warc.gz,,,,,False,
"edu,stanford,cs)/forum",20240620065731,https://www.cs.stanford.edu/forum,text/html,text/html,Completed,OTTIKKNS6KEXYXYJZCFGZWK5OFJHP7R6,10554,29085337,crawl-data/CC-MAIN-2024-26/segments/1718198861883.41/crawldiagnostics/CC-MAIN-20240620043158-20240620073158-00286.warc.gz,,,,,False,
"edu,stanford,cs)/get-involved/affiliate-programs",20240614223321,https://www.cs.stanford.edu/get-involved/affiliate-programs,text/html,text/html,Completed,EIVEO5AQ5JL3KFELXWEAJHMUJZ5RYIRR,16319,659839482,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00257.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/get-involved?page=1",20240614213333,https://www.cs.stanford.edu/get-involved/?page=1,text/html,text/html,Completed,5Y2REG5RU4SIPLR7VNHIXBNQSCMW4OKJ,895,24402953,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/crawldiagnostics/CC-MAIN-20240614204739-20240614234739-00684.warc.gz,,,https://www.cs.stanford.edu/get-involved?page=1,,False,
"edu,stanford,cs)/get-involved?page=1",20240614213334,https://www.cs.stanford.edu/get-involved?page=1,text/html,text/html,Completed,EVU6BCF5PDMYAOXIZ6KAUTPFNVHLOGOF,14979,652589318,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00693.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/group/manips/index.html",20240623012107,https://cs.stanford.edu/group/manips/index.html,text/html,text/html,Completed,MBUUWVPGS43KQUT4A5RKNIJJDON4CIFE,4334,162170246,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00444.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/group/manips/people.html",20240623024524,https://cs.stanford.edu/group/manips/people.html,text/html,text/html,Completed,5D4KW7VJYSANZNZQIVAJ3SNJ2OITA7EP,4952,162221412,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00409.warc.gz,"eng,dan",UTF-8,,,False,
"edu,stanford,cs)/group/roadrunner",20240617223052,https://cs.stanford.edu/group/roadrunner,text/html,text/html,Completed,7I3AECVRHI7X6TRMTZWKG4GSI2UPQRSY,707,7196287,crawl-data/CC-MAIN-2024-26/segments/1718198861741.14/crawldiagnostics/CC-MAIN-20240617215859-20240618005859-00112.warc.gz,,,https://cs.stanford.edu/group/roadrunner/,,False,
"edu,stanford,cs)/group/roadrunner",20240617223052,https://cs.stanford.edu/group/roadrunner/,text/html,text/html,Completed,AUQEWCPJMFBFMSACD7QPIJJKNULWENBL,2808,160575433,crawl-data/CC-MAIN-2024-26/segments/1718198861741.14/warc/CC-MAIN-20240617215859-20240618005859-00267.warc.gz,eng,ISO-8859-1,,,False,
"edu,stanford,cs)/group/roadrunner",20240619102616,http://cs.stanford.edu/group/roadrunner/,text/html,text/html,Completed,TTWCDNJPJQYMJI4MMGC3I4H3IT7VNBHN,683,350388,crawl-data/CC-MAIN-2024-26/segments/1718198861817.10/crawldiagnostics/CC-MAIN-20240619091803-20240619121803-00430.warc.gz,,,https://www.cs.stanford.edu/group/roadrunner/,,False,
"edu,stanford,cs)/group/roadrunner",20240619102616,https://www.cs.stanford.edu/group/roadrunner/,text/html,application/xhtml+xml,Completed,RSIDLD4M6H6NQFVJPRLLJBTHO44M7VNY,898,28396489,crawl-data/CC-MAIN-2024-26/segments/1718198861817.10/crawldiagnostics/CC-MAIN-20240619091803-20240619121803-00764.warc.gz,,,,,False,
"edu,stanford,cs)/group/roadrunner/old/announcements.html",20240613045103,https://cs.stanford.edu/group/roadrunner/old/announcements.html,warc/revisit,,Completed,,542,8156430,crawl-data/CC-MAIN-2024-26/segments/1718198861342.11/crawldiagnostics/CC-MAIN-20240613025523-20240613055523-00324.warc.gz,,,,,False,
"edu,stanford,cs)/group/roadrunner/old/sponsors.html",20240623022157,https://cs.stanford.edu/group/roadrunner/old/sponsors.html,warc/revisit,,Completed,,540,8048874,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00357.warc.gz,,,,,False,
"edu,stanford,cs)/group/roadrunner/pdfs/final_factsheet_junior.pdf",20240623011349,https://cs.stanford.edu/group/roadrunner/pdfs/final_factsheet_junior.pdf,application/pdf,application/pdf,Completed,4G6ME5QVDTFWMPO7THDH2A6R3Z5N2X4G,315092,161615284,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00241.warc.gz,,,,,False,
"edu,stanford,cs)/group/roadrunner/sponsors.html",20240623022407,https://cs.stanford.edu/group/roadrunner/sponsors.html,text/html,text/html,Completed,K353RQ3DMCDTR2EJSACI72DEUWZIEROI,2358,162784877,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/warc/CC-MAIN-20240623001858-20240623031858-00297.warc.gz,,IBM420,,,False,
"edu,stanford,cs)/help",20240622030725,https://www.cs.stanford.edu/help,text/html,text/html,Completed,K5WKDPGBWBCFDC55TGGT3JYQCDLUGS33,10557,28841894,crawl-data/CC-MAIN-2024-26/segments/1718198862249.29/crawldiagnostics/CC-MAIN-20240622014659-20240622044659-00132.warc.gz,,,,,False,
"edu,stanford,cs)/info/contact",20240617235440,https://cs.stanford.edu/info/contact,text/html,text/html,Completed,7WEDWWD7IXVYSTTAEG74Y4OGYYYJCTHG,708,7484947,crawl-data/CC-MAIN-2024-26/segments/1718198861741.14/crawldiagnostics/CC-MAIN-20240617215859-20240618005859-00439.warc.gz,,,https://www.cs.stanford.edu/info/contact,,False,
"edu,stanford,cs)/info/contact",20240617235440,https://www.cs.stanford.edu/info/contact,text/html,text/html,Completed,SB5OZMQURZMX25YIW4PGVYNA2GSLYGKC,10628,27723194,crawl-data/CC-MAIN-2024-26/segments/1718198861741.14/crawldiagnostics/CC-MAIN-20240617215859-20240618005859-00726.warc.gz,,,,,False,
"edu,stanford,cs)/ip",20240622024725,https://www.cs.stanford.edu/ip,text/html,text/html,Completed,K5WKDPGBWBCFDC55TGGT3JYQCDLUGS33,10557,30389400,crawl-data/CC-MAIN-2024-26/segments/1718198862249.29/crawldiagnostics/CC-MAIN-20240622014659-20240622044659-00090.warc.gz,,,,,False,
"edu,stanford,cs)/jmc/history/dartmouth.pdf",20240625135958,https://www.cs.stanford.edu/jmc/history/dartmouth.pdf,text/html,text/html,Completed,GR6MVXZHXUZHUJZVY4HAS3KZWLGKZBYX,10569,30638806,crawl-data/CC-MAIN-2024-26/segments/1718198866143.18/crawldiagnostics/CC-MAIN-20240625135622-20240625165622-00375.warc.gz,,,,,False,
"edu,stanford,cs)/masters-degree-requirements",20240624200904,https://www.cs.stanford.edu/masters-degree-requirements,text/html,text/html,Completed,PLDMPAVD5S4NFYFLIKUCM2PCY4QDTIFK,11887,620798108,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00162.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/masters-frequently-asked-questions",20240624192159,https://www.cs.stanford.edu/masters-frequently-asked-questions,text/html,text/html,Completed,57WWLDDCOLLHM7HEYHSRMJTBWQI3Y5UM,14311,630398670,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00861.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/masters-specializations/ms-program-sheets",20240624203757,https://www.cs.stanford.edu/masters-specializations/ms-program-sheets,text/html,text/html,Completed,YTLCJ7F4AICEU4GCQAUY3I4DK5H33EKX,12953,629501837,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00462.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/medit",20240623010431,https://cs.stanford.edu/medit,text/html,text/html,Completed,63AGEVCKQOD67FD42EMG37W4LNEGOHLC,706,7905548,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00423.warc.gz,,,https://webdb.cs.stanford.edu/medit,,False,
"edu,stanford,cs)/ms-requirements-breadth",20240624185548,https://www.cs.stanford.edu/ms-requirements-breadth,text/html,text/html,Completed,FB3GLO5QNUSM2THZI7VZHJ4Z7CPQXLE4,12221,635363488,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00695.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/ms-requirements-depth",20240624184429,https://www.cs.stanford.edu/ms-requirements-depth,text/html,text/html,Completed,N3ATHPCEUA35IUNFQ3RKHAXWE3VZ4JBK,12789,619193766,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00274.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/ms-requirements-foundations",20240614222150,https://www.cs.stanford.edu/ms-requirements-foundations,text/html,text/html,Completed,RKTV53Y22ZUHL5GX4YB55YCRZOTYFJIY,14045,644217458,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00679.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/ms-requirements-overall",20240624191327,https://www.cs.stanford.edu/ms-requirements-overall,text/html,text/html,Completed,HCUL362XFNPQQKMGKXX6HFWXAWIB5ATY,11845,648857680,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00532.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/ms-requirements-significant-software-implementation",20240614214105,https://www.cs.stanford.edu/ms-requirements-significant-software-implementation,text/html,text/html,Completed,MMQ2F3J4LIXSZQAJWYAFB6HD3E42JOXP,11684,665655016,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00041.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/past-newsletters/2013",20240625174557,https://www.cs.stanford.edu/past-newsletters/2013,text/html,text/html,Completed,GR6MVXZHXUZHUJZVY4HAS3KZWLGKZBYX,10559,31602391,crawl-data/CC-MAIN-2024-26/segments/1718198866218.13/crawldiagnostics/CC-MAIN-20240625171218-20240625201218-00093.warc.gz,,,,,False,
"edu,stanford,cs)/people-cs/adjunct-faculty",20240614231252,https://www.cs.stanford.edu/people-cs/adjunct-faculty,text/html,text/html,Completed,KTGC3QQOXLWKHXBYDZPEIPI4OCZEGR6M,12136,650727553,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00068.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/courtesy-faculty",20240624184327,https://www.cs.stanford.edu/people-cs/courtesy-faculty,text/html,text/html,Completed,XVL5ODLWO23UOSKDBWZS4CB676JV67OP,14149,631677929,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00307.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/emeritus-faculty",20240624201936,https://www.cs.stanford.edu/people-cs/emeritus-faculty,text/html,text/html,Completed,KYFSHTFSJZSP7XWCBKUFZLJEPJS2AWVL,12919,647099814,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00045.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research",20240624202613,https://www.cs.stanford.edu/people-cs/faculty-research,text/html,text/html,Completed,HHT2HHDPP43UVS4HLPIS6LTPPRCVFHTI,28948,643854846,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00544.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/architecture",20240614223436,https://www.cs.stanford.edu/people-cs/faculty-research/architecture,text/html,text/html,Completed,MRSQ3BJ4BVLKPLPOWSF4CA3EBT63LQU2,12687,656078184,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00114.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/artificial-intelligence",20240614224213,https://www.cs.stanford.edu/people-cs/faculty-research/artificial-intelligence,text/html,text/html,Completed,UQTN5HSTJB4CKA3Y7OQ3KDMA6YTPQMEH,15123,651103869,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00215.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/computational-education",20240614212759,https://www.cs.stanford.edu/people-cs/faculty-research/computational-education,text/html,text/html,Completed,ZRT6KJB43RJNS5CI6JUAJWELBC2E6JYG,12722,661821191,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00686.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/computer-systems",20240614213756,https://www.cs.stanford.edu/people-cs/faculty-research/computer-systems,text/html,text/html,Completed,QDY5FFOPCXPGEYVYBZ6PHB7FUYJTAWPN,14205,665359171,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00053.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/data-science",20240624202811,https://www.cs.stanford.edu/people-cs/faculty-research/data-science,text/html,text/html,Completed,7VSX4HFICTQ2BEBEU4UQ6MQPTOHM66M7,12238,635231806,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00156.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/human-centered-and-creative-ai",20240614215853,https://www.cs.stanford.edu/people-cs/faculty-research/human-centered-and-creative-ai,text/html,text/html,Completed,JAULXMOQUB33H6XJQUWDA7AG75PSIVVE,13373,663332496,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00066.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/human-computer-interaction-hci",20240614215802,https://www.cs.stanford.edu/people-cs/faculty-research/human-computer-interaction-hci,text/html,text/html,Completed,6Q5F5NNT7BL3JITWIIEDIZ7HX7WIS5NS,12456,666510011,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00396.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/natural-language-processing-and-speech",20240614223546,https://www.cs.stanford.edu/people-cs/faculty-research/natural-language-processing-and-speech,text/html,text/html,Completed,QHZD4SMAHXOS5KC3STNASQ2IRJQSWAJT,12900,647365245,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00808.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/networking",20240624201151,https://www.cs.stanford.edu/people-cs/faculty-research/networking,text/html,text/html,Completed,JGTSLGD7FFPT5XMNYIWSAFHSFE5YGVBF,12342,625464516,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00875.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/programming-systems-and-verification",20240614211646,https://www.cs.stanford.edu/people-cs/faculty-research/programming-systems-and-verification,text/html,text/html,Completed,LB7265GR2HET7RYUUX3JO3LJRBCMZRKL,12576,644980122,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00721.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/reinforcement-learning",20240624195331,https://www.cs.stanford.edu/people-cs/faculty-research/reinforcement-learning,text/html,text/html,Completed,BHUBN7AN44AJD64EBZINQHA2EDSR336M,12593,635740054,crawl-data/CC-MAIN-2024-26/segments/1718198865482.23/warc/CC-MAIN-20240624182503-20240624212503-00449.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/robotics",20240614222841,https://www.cs.stanford.edu/people-cs/faculty-research/robotics,text/html,text/html,Completed,CZWJDTARFJEYUWEQPOGYZJHMW35ND3V5,13064,658938650,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00334.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/statistical-or-theoretical-machine-learning",20240614223959,https://www.cs.stanford.edu/people-cs/faculty-research/statistical-or-theoretical-machine-learning,text/html,text/html,Completed,H5XXVG2PHF5BXAE6PITFBINBKVEZ2ZQP,12817,651243306,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00546.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/faculty-research/theory",20240614211857,https://www.cs.stanford.edu/people-cs/faculty-research/theory,text/html,text/html,Completed,3A2WB6YGBRSWGLZXGF56YFIYBZVSAY7T,13045,653355309,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00084.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people-cs/research-staff",20240614231619,https://www.cs.stanford.edu/people-cs/research-staff,text/html,text/html,Completed,TTZC6BM7ET5ADWXPWCOA23XJZYYPLHVZ,12099,641695341,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00662.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people/adjunct-faculty",20240614213716,https://www.cs.stanford.edu/people/adjunct-faculty,text/html,text/html,Completed,QLYK5UQPGEMXMNHMA7CRVWH3VTOKXBV2,11762,653035124,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00847.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people/administrative-staff",20240614222929,https://www.cs.stanford.edu/people/administrative-staff,text/html,text/html,Completed,IJUVXRCJUGMW3C3J2WGZQVGLWDTIVOIM,12678,649127396,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00778.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people/aina-niemetz",20240614212220,https://www.cs.stanford.edu/people/aina-niemetz,text/html,text/html,Completed,NMZRDHQE2QON4PWMEDETYV6BOBQIRJOP,11075,657007273,crawl-data/CC-MAIN-2024-26/segments/1718198861575.66/warc/CC-MAIN-20240614204739-20240614234739-00639.warc.gz,eng,UTF-8,,,False,
"edu,stanford,cs)/people/ang?portfolio=map-reduce-for-machine-learning-on-multicore",20240623020223,https://cs.stanford.edu/people/ang/?portfolio=map-reduce-for-machine-learning-on-multicore,text/html,text/html,Completed,DCH2JWQWTHSYAOJMDGHUTNKO3PRRTIQI,758,8928516,crawl-data/CC-MAIN-2024-26/segments/1718198862425.28/crawldiagnostics/CC-MAIN-20240623001858-20240623031858-00504.warc.gz,,,http://www.andrewng.org/?portfolio=map-reduce-for-machine-learning-on-multicore,,False,
